NAME	CLL	Tcells	Bcells	NKcells	Monocytes.Macrophages
MNDA	0.0032441200324412	0.0073469387755102	0	2.52666666666667	0
PSAP	0.11257096512571	0.144489795918367	0.145970488081725	4.78666666666667	0.21505376344086
TYMP	0.106407137064071	0.115102040816327	0.0978433598183882	4.17333333333333	0.150537634408602
SERPINA1	0.00064882400648824	0.00408163265306122	0	1.86	0
AP1S2	0.100567721005677	0.086530612244898	0.103745743473326	3.04	0.0537634408602151
VCAN	0.0016220600162206	0.00489795918367347	0	1.46666666666667	0
TNFSF13B	0.00665044606650446	0.00326530612244898	0.00522133938706016	1.48666666666667	0.032258064516129
S100A11	0.363990267639903	0.804081632653061	0.264018161180477	6.98666666666667	0.709677419354839
MS4A6A	0.00259529602595296	0.00571428571428571	0.000681044267877412	1.39333333333333	0
CD14	0.00097323600973236	0.00163265306122449	0.000227014755959137	1.30666666666667	0
CYBB	0.00535279805352798	0.000816326530612245	0.00340522133938706	1.31333333333333	0
CLEC7A	0.00113544201135442	0.00326530612244898	0.000454029511918275	1.19333333333333	0
WARS	0.0155717761557178	0.0204081632653061	0.0263337116912599	1.38	0.0537634408602151
BRI3	0.127980535279805	0.164081632653061	0.210669693530079	3.03333333333333	0.129032258064516
NEAT1	0.272830494728305	0.653061224489796	0.354143019296254	5.20666666666667	1.09677419354839
CLEC12A	0.00048661800486618	0.00163265306122449	0	1.08666666666667	0
MPEG1	0.0339010543390105	0.00326530612244898	0.0404086265607264	1.4	0.010752688172043
SAT1	0.321330089213301	0.491428571428571	0.748921679909194	6.56666666666667	0.387096774193548
GLRX	0.00356853203568532	0.231020408163265	0.00272417707150965	1.32666666666667	0.268817204301075
CFD	0.0507704785077048	0.0253061224489796	0.0265607264472191	1.42	0.010752688172043
DUSP6	0.0129764801297648	0.00244897959183673	0.0129398410896708	1.11333333333333	0.021505376344086
CARD16	0.121167883211679	0.453877551020408	0.0572077185017026	2.44666666666667	0.612903225806452
CEBPD	0.0040551500405515	0.0187755102040816	0.00272417707150965	1.04666666666667	0.225806451612903
NPC2	0.389456609894566	0.176326530612245	0.31850170261067	4.60666666666667	0.301075268817204
IFI30	0.0408759124087591	0.00816326530612245	0.0161180476730988	1.25333333333333	0
CFP	0.00097323600973236	0.0073469387755102	0.000227014755959137	0.966666666666667	0.010752688172043
LINC01272	0.00113544201135442	0	0.000227014755959137	0.94	0
KLRF1	0.00113544201135442	0.113469387755102	0	0	1.56989247311828
TRDC	0.00129764801297648	0.0930612244897959	0.000227014755959137	0	1.45161290322581
SPON2	0.010867802108678	0.0995918367346939	0.0154370034052213	0.0133333333333333	1.36559139784946
KLRD1	0.00535279805352798	0.298775510204082	0.00340522133938706	0.0266666666666667	1.47311827956989
FCGR3A	0.00275750202757502	0.0571428571428571	0.000681044267877412	0.853333333333333	1.18279569892473
CLIC3	0.00113544201135442	0.173877551020408	0.000908059023836549	0.0133333333333333	0.870967741935484
PLAC8	0.121330089213301	0.382040816326531	0.0329171396140749	1.70666666666667	1.76344086021505
IFITM2	0.266828872668289	1.25877551020408	0.258796821793417	2.32	3.67741935483871
CD247	0.00145985401459854	0.304489795918367	0.000454029511918275	0.0133333333333333	0.89247311827957
PTGDS	0	0.0073469387755102	0	0	0.526881720430108
EFHD2	0.0497972424979724	0.388571428571429	0.0735527809307605	1.20666666666667	1.11827956989247
S100B	0.00032441200324412	0.083265306122449	0.000454029511918275	0.0133333333333333	0.526881720430108
ABHD17A	0.0562854825628548	0.326530612244898	0.0699205448354143	0.12	0.795698924731183
HBA1	0.0032441200324412	0.0228571428571429	0.000227014755959137	0	0.387096774193548
IGFBP7	0.00064882400648824	0.00408163265306122	0	0.1	0.365591397849462
IL2RB	0.00129764801297648	0.0693877551020408	0.00476730987514188	0.00666666666666667	0.397849462365591
CCL3	0.0137875101378751	0.0114285714285714	0.131895573212259	0.553333333333333	0.602150537634409
PRSS23	0	0.0783673469387755	0.000227014755959137	0.00666666666666667	0.344086021505376
