"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","7/252","33/5972",0.212121212121212,5.02693602693603,4.86856339236641,0.000364636043474934,0.0033181879956219,0.00249487819219692,"973/920/3575/3718/925/3932/915",7
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","13/252","106/5972",0.122641509433962,2.90640910452231,4.1564618464091,0.000469959374997645,0.004138674495947,0.0031117853352985,"1278/3674/4846/2815/6915/6714/4067/7450/1277/51206/3690/6916/2814",13
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","7/252","38/5972",0.184210526315789,4.36549707602339,4.36810466943995,0.000899408133329474,0.00767307563746708,0.00576922980260682,"7157/2064/4318/5925/6714/7057/1869",7
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","16/252","158/5972",0.10126582278481,2.39983926059875,3.74278595535014,0.000947762998295835,0.00784058480408373,0.00589517654442386,"7157/356/1147/6772/581/330/6347/6714/1616/3690/8740/596/841/355/9021/3678",16
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","11/252","87/5972",0.126436781609195,2.99635103083379,3.9368520382671,0.000986832521227576,0.00792368465573907,0.00595765763589404,"7157/6667/2064/4318/581/2353/5925/5747/6714/596/1869",11
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","17/252","179/5972",0.0949720670391061,2.25068723951406,3.56573662360738,0.00135993394307791,0.0106074847560077,0.00797555244812611,"1649/7157/356/4846/1147/4318/834/581/2353/6347/5747/6714/4067/596/841/355/6774",17
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","9/252","65/5972",0.138461538461538,3.28131868131868,3.88136907551704,0.00148081375327711,0.0112295042956848,0.00844323631254494,"7157/356/2944/2064/581/330/596/841/355",9
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","9/252","66/5972",0.136363636363636,3.23160173160173,3.82620053211595,0.00165283010441703,0.0121952059055635,0.009169327748544,"7157/2064/581/1021/5925/4233/3718/1869/6774",9
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","11/252","93/5972",0.118279569892473,2.80303806110258,3.67807372591014,0.00171841434562492,0.0123454504304106,0.00928229355669973,"7076/2321/5054/4843/285/7037/4846/2064/3162/596/6774",11
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","17/252","184/5972",0.0923913043478261,2.18952726017943,3.43989226510798,0.0018375873146395,0.0128631112024765,0.00967151218231316,"7157/356/6667/1147/581/5743/1021/6347/5925/5747/6714/3690/1869/841/355/3685/6774",17
