,V1,V2,V3
364,POU2AF1,PTF1A,0.661079762767188
365,POU2AF1,RREB1,-0.661079762767188
366,POU2AF1,ZBTB4,0.661079762767188
367,POU2F2,POU2F2,1
368,POU2F2,POU4F1,1
369,POU2F2,SPDEF,0.646342732491934
370,POU2F2,TOX3,0.765652698619441
371,POU2F2,VDR,-1
372,POU4F1,POU4F1,1
373,POU4F1,SPDEF,0.646342732491934
374,POU4F1,TOX3,0.765652698619441
375,POU4F1,VDR,-1
376,SPDEF,SPDEF,1
377,SPDEF,VDR,-0.646342732491934
378,SPDEF,EGR4,-0.734223812239402
379,SPDEF,ETV2,-0.537568895021671
380,SPDEF,JDP2,-0.734223812239402
381,SPDEF,MAFB,-0.734223812239402
382,SPDEF,MAX,0.559726775599277
383,SPDEF,RUNX1,-0.734223812239402
384,TOX3,TOX3,1
385,TOX3,VDR,-0.765652698619441
386,TOX3,CREBZF,-0.609356657803525
387,TOX3,HOXD13,-0.609356657803525
388,TOX3,NOTCH1,-0.609356657803525
389,VDR,VDR,1
390,CREBZF,CREBZF,1
391,CREBZF,HOXD13,1
392,CREBZF,MLXIPL,0.713094305401418
393,CREBZF,NOTCH1,1
394,CREBZF,SIRT1,-0.648975376188395
395,HOXD13,HOXD13,1
396,HOXD13,MLXIPL,0.713094305401418
397,HOXD13,NOTCH1,1
398,HOXD13,SIRT1,-0.648975376188395
399,MLXIPL,MLXIPL,1
400,MLXIPL,NOTCH1,0.713094305401418
401,MLXIPL,SIRT1,-0.996159870600679
402,MLXIPL,ARID3A,0.512928337071205
403,MLXIPL,ARNT,-0.731409273450462
404,MLXIPL,FOXO1,-0.731409273450462
405,MLXIPL,GTF3A,0.731409273450462
406,MLXIPL,HCFC1,0.538701661228839
407,MLXIPL,HIF1A,0.731409273450462
408,MLXIPL,LHX8,-0.731409273450462
409,MLXIPL,MECP2,0.731409273450462
410,MLXIPL,MITF,-0.520519944269299
411,MLXIPL,NEUROG2,-0.731409273450462
412,MLXIPL,PARK7,0.731409273450462
413,MLXIPL,SOX6,-0.731409273450462
414,MLXIPL,TBPL2,0.731409273450462
415,MLXIPL,TFDP1,0.51764347982807
416,MLXIPL,TP53,-0.529523056802086
417,MLXIPL,ZHX2,-0.525856502777942
418,NOTCH1,NOTCH1,1
419,NOTCH1,SIRT1,-0.648975376188395
420,SIRT1,SIRT1,1
