	D1_p1_rep1_auto	D4_p1_rep1_auto	D8_p1_rep1_auto	D11_p1_rep1_auto	D14_p1_rep1_auto	D1_p1_rep2_auto	D4_p1_rep2_auto	D8_p1_rep2_auto	D11_p1_rep2_auto	D14_p1_rep2_auto	D1_p2_rep1_auto	D4_p2_rep1_auto	D8_p2_rep1_auto	D11_p2_rep1_auto	D14_p2_rep1_auto	D1_p2_rep2_auto	D4_p2_rep2_auto	D8_p2_rep2_auto	D11_p2_rep2_auto	D14_p2_rep2_auto	D1_p3_rep1_auto	D4_p3_rep1_auto	D8_p3_rep1_auto	D11_p3_rep1_auto	D14_p3_rep1_auto	D1_p3_rep2_auto	D4_p3_rep2_auto	D8_p3_rep2_auto	D11_p3_rep2_auto	D14_p3_rep2_auto
KDM1A	10.6748300900207	10.6657953344731	10.731554569328	10.9024357460597	10.9170814881283	10.6606257487955	10.562247513248	10.7777856236873	10.9268534202944	10.8801959213405	10.6730710037953	10.4644895877614	10.6593158469686	10.5703778790535	10.6930529530668	10.6098090363929	10.5377687981543	10.5326170395739	10.6925845932917	10.6852251218487	10.2535532006591	10.4248157199494	10.469981215664	10.5132977373121	10.4528532680939	10.3436374522462	10.3615963709004	10.462425038002	10.5877350405239	10.2731333388242
RBM6	11.4136979601533	11.5909451088059	11.5301726204648	10.757683129425	10.8537741894877	11.5104873655216	11.5920936536413	11.6070137403471	10.6371601217097	10.8750406486517	10.4452173463547	10.5861893008144	10.8514282300503	10.7755823436656	10.7163429402335	10.5704787436418	10.6289812402571	10.7901189664189	10.7743306351187	10.50101646501	10.248389573237	10.191485695514	10.0240409845896	10.216847779674	9.95551967591356	9.74243188245901	10.048035209861	10.1049780669745	10.2811184351887	9.85311704006087
CAMKK1	8.14773608711062	7.81646140707638	7.76290938022037	8.05020383100471	7.39064189314403	8.58959833093721	7.70227929896773	7.9395269495241	8.07585885360602	7.25683199050775	8.78776182840856	6.34687614806277	7.44879995188646	7.51321728188057	7.76661515323144	8.89703836910193	6.61501719768837	7.31725189290627	7.47104829543109	7.75843054349199	7.01050839798547	7.29939743613773	7.58222116097018	7.85985332634053	7.23901314885528	6.51233065989902	7.65222453176919	7.41989358024614	7.67441164297859	6.64129484629658
RECQL	10.6599074984309	10.4367474293892	10.3132360623054	10.1782331224114	10.4063787579297	10.6267861908117	10.4585639274467	10.2971825695384	10.0775514781891	10.4408518761555	10.4734576543827	10.452899504027	10.6871187043781	10.5748484181749	10.5518966601951	10.4943440886227	10.502928273152	10.6840938764692	10.6536143447037	10.4381910154221	9.460756000246	9.47524267512429	9.35023947357449	9.32574101152746	9.4026257432795	9.34236042951147	9.22098964917691	9.13442405672532	9.34169681935415	9.81313402957042
VPS50	9.10344510655398	8.82108118452055	8.69403634373805	8.28476231619501	8.68717871751761	8.99218944550685	8.75959695227367	8.78972719392948	8.32654186931105	8.57563363930819	8.98193694128422	8.97576638477629	8.67537712571331	8.44722236567654	8.51548556772375	9.06945118370107	8.78884398580286	8.71533596371911	8.505787326729	8.56061571729643	8.76475166234148	8.57595666896417	8.35015975840991	8.5322129902297	8.4294608383688	8.75850875627506	8.3931114665306	8.56677259904087	8.28102565811584	8.76606466117191
ARHGAP33	7.19317447680994	8.19319394604991	7.70777112949621	6.63007852767071	6.06492946035182	7.52149359753326	8.05514454329486	8.14684551178373	6.13624781857301	5.94269049683632	5.38765683436404	5.67939994899587	5.9107648327001	6.06753991457666	6.59279615322243	5.48242688290194	6.08251222235235	6.04294397082822	6.00903300807548	5.94350992922165	6.06928524704927	5.88656697180836	5.54184791065958	6.49258331977602	5.04126249080768	4.85528421164524	5.85427405667494	5.91679544895271	5.81865347536165	4.67322499421146
NDUFAB1	8.6317087536245	8.95332009768133	8.808054451445	9.12725646278098	9.19279931739057	8.79961892066394	9.10448470908806	8.87315306251491	9.24788186246406	9.17116073504356	8.91534588695747	9.00780417166776	9.71309226962923	9.38787191782077	8.92832879808747	8.86098133271934	8.94052085369721	9.70793442506874	9.39872349725642	9.25566094331903	9.32345720220636	9.61397984919305	9.63600827926018	9.38786151071124	9.45606998482658	9.4008785080539	9.58588399095636	9.75999436282522	9.44306155802702	9.65076100304755
PDK4	4.93575084407087	1.78491307323752	2.23331435846156	3.46307244500265	3.97644676462389	4.67093231329014	2.08787753243821	2.0571115855135	2.88762277038661	2.94917180585758	6.98236197419943	5.96700168745774	2.59335563313688	4.31298471574969	4.92560051507244	6.85985745830806	6.08251222235235	3.44693632160106	4.01447506464685	3.83989295062321	4.02370421500341	3.69758031568455	3.63188288650614	1.66532138708296	3.40306774654772	4.34675279148665	3.92721293042854	3.16959647351524	2.35238794357734	4.27691374224292
ZMYND10	3.78497342107237	3.91306822042667	2.6283027339149	1.69081884076779	0.828499336007528	3.89417623271686	4.175437930765	3.77041591207237	2.39698148154531	1.88331674041574	2.26344084812263	2.59089306380615	0	2.51578825352351	2.56037239998022	3.0983964153656	2.04603901306724	2.701073318065	1.2499330056524	2.21180557822814	2.91497937345178	2.39958710914797	1.61923700621281	3.69433830618642	3.40306774654772	1.05300013810918	3.01906054128155	3.8788011273368	3.2037299189293	2.83360551335393
SLC25A13	7.27065802417343	7.72351775760862	7.66630415949866	7.79188886909186	7.23588576827951	7.27023031541318	7.71907256650032	7.62215742891352	7.48500211447187	7.56411567311101	7.5779395224062	7.3379865571932	7.27209541147386	7.28123960063139	7.7337910034423	7.3357382657367	7.38261891023849	7.63736962887158	7.36648090693607	7.35097241806085	7.18640758927892	7.17683253592167	7.27959504165067	7.14040931684756	7.25919955721297	7.41637304760721	7.21965163167139	7.66699724364866	7.32313731898146	7.31809834160996
